Series ID,Year,Period,Label,Value
LNU04000086,2011,M03,2011 Mar,28.6
LNU04000086,2011,M04,2011 Apr,29.5
LNU04000086,2011,M05,2011 May,29.5
LNU04000086,2011,M06,2011 Jun,34.1
LNU04000086,2011,M07,2011 Jul,30.5
LNU04000086,2011,M08,2011 Aug,26.9
LNU04000086,2011,M09,2011 Sep,24.8
LNU04000086,2011,M10,2011 Oct,23.6
LNU04000086,2011,M11,2011 Nov,22.6
LNU04000086,2011,M12,2011 Dec,25.5
LNU04000086,2012,M01,2012 Jan,28.1
LNU04000086,2012,M02,2012 Feb,29.4
LNU04000086,2012,M03,2012 Mar,28.5
LNU04000086,2012,M04,2012 Apr,24.8
LNU04000086,2012,M05,2012 May,27.0
LNU04000086,2012,M06,2012 Jun,32.8
LNU04000086,2012,M07,2012 Jul,29.0
LNU04000086,2012,M08,2012 Aug,27.5
LNU04000086,2012,M09,2012 Sep,23.4
LNU04000086,2012,M10,2012 Oct,23.1
LNU04000086,2012,M11,2012 Nov,28.4
LNU04000086,2012,M12,2012 Dec,23.5
LNU04000086,2013,M01,2013 Jan,28.2
LNU04000086,2013,M02,2013 Feb,28.6
LNU04000086,2013,M03,2013 Mar,27.6
LNU04000086,2013,M04,2013 Apr,26.1
LNU04000086,2013,M05,2013 May,28.3
LNU04000086,2013,M06,2013 Jun,32.3
LNU04000086,2013,M07,2013 Jul,32.1
LNU04000086,2013,M08,2013 Aug,24.3
LNU04000086,2013,M09,2013 Sep,22.4
LNU04000086,2013,M10,2013 Oct,21.3
LNU04000086,2013,M11,2013 Nov,21.9
LNU04000086,2013,M12,2013 Dec,21.0
LNU04000086,2014,M01,2014 Jan,21.1
LNU04000086,2014,M02,2014 Feb,21.3
LNU04000086,2014,M03,2014 Mar,20.0
LNU04000086,2014,M04,2014 Apr,21.0
LNU04000086,2014,M05,2014 May,23.9
LNU04000086,2014,M06,2014 Jun,29.7
LNU04000086,2014,M07,2014 Jul,25.9
LNU04000086,2014,M08,2014 Aug,22.3
LNU04000086,2014,M09,2014 Sep,17.9
LNU04000086,2014,M10,2014 Oct,19.9
LNU04000086,2014,M11,2014 Nov,16.2
LNU04000086,2014,M12,2014 Dec,16.2
LNU04000086,2015,M01,2015 Jan,19.1
LNU04000086,2015,M02,2015 Feb,17.6
LNU04000086,2015,M03,2015 Mar,17.3
LNU04000086,2015,M04,2015 Apr,19.1
LNU04000086,2015,M05,2015 May,20.0
LNU04000086,2015,M06,2015 Jun,23.9
LNU04000086,2015,M07,2015 Jul,19.9
LNU04000086,2015,M08,2015 Aug,18.2
LNU04000086,2015,M09,2015 Sep,15.1
LNU04000086,2015,M10,2015 Oct,16.2
LNU04000086,2015,M11,2015 Nov,15.4
LNU04000086,2015,M12,2015 Dec,15.0
LNU04000086,2016,M01,2016 Jan,17.4
LNU04000086,2016,M02,2016 Feb,18.5
LNU04000086,2016,M03,2016 Mar,18.9
LNU04000086,2016,M04,2016 Apr,19.4
LNU04000086,2016,M05,2016 May,19.4
LNU04000086,2016,M06,2016 Jun,22.2
LNU04000086,2016,M07,2016 Jul,17.5
LNU04000086,2016,M08,2016 Aug,16.1
LNU04000086,2016,M09,2016 Sep,14.9
LNU04000086,2016,M10,2016 Oct,18.2
LNU04000086,2016,M11,2016 Nov,16.2
LNU04000086,2016,M12,2016 Dec,15.0
LNU04000086,2017,M01,2017 Jan,15.2
LNU04000086,2017,M02,2017 Feb,17.4
LNU04000086,2017,M03,2017 Mar,17.1
LNU04000086,2017,M04,2017 Apr,17.3
LNU04000086,2017,M05,2017 May,13.7
LNU04000086,2017,M06,2017 Jun,17.7
LNU04000086,2017,M07,2017 Jul,17.2
LNU04000086,2017,M08,2017 Aug,14.1
LNU04000086,2017,M09,2017 Sep,11.3
LNU04000086,2017,M10,2017 Oct,13.8
LNU04000086,2017,M11,2017 Nov,17.9
LNU04000086,2017,M12,2017 Dec,12.9
LNU04000088,2002,M01,2002 Jan,16.3
LNU04000088,2002,M02,2002 Feb,15.8
LNU04000088,2002,M03,2002 Mar,15.3
LNU04000088,2002,M04,2002 Apr,13.6
LNU04000088,2002,M05,2002 May,13.8
LNU04000088,2002,M06,2002 Jun,16.3
LNU04000088,2002,M07,2002 Jul,15.1
LNU04000088,2002,M08,2002 Aug,14.8
LNU04000088,2002,M09,2002 Sep,15.2
LNU04000088,2002,M10,2002 Oct,14.9
LNU04000088,2002,M11,2002 Nov,16.0
LNU04000088,2002,M12,2002 Dec,14.4
LNU04000088,2003,M01,2003 Jan,17.2
LNU04000088,2003,M02,2003 Feb,17.1
LNU04000088,2003,M03,2003 Mar,17.9
LNU04000088,2003,M04,2003 Apr,15.7
LNU04000088,2003,M05,2003 May,17.2
LNU04000088,2003,M06,2003 Jun,19.0
LNU04000088,2003,M07,2003 Jul,16.5
LNU04000088,2003,M08,2003 Aug,14.6
LNU04000088,2003,M09,2003 Sep,17.3
LNU04000088,2003,M10,2003 Oct,15.3
LNU04000088,2003,M11,2003 Nov,15.0
LNU04000088,2003,M12,2003 Dec,13.1
LNU04000088,2004,M01,2004 Jan,16.9
LNU04000088,2004,M02,2004 Feb,16.6
LNU04000088,2004,M03,2004 Mar,14.7
LNU04000088,2004,M04,2004 Apr,13.3
LNU04000088,2004,M05,2004 May,14.2
LNU04000088,2004,M06,2004 Jun,15.5
LNU04000088,2004,M07,2004 Jul,15.8
LNU04000088,2004,M08,2004 Aug,13.9
LNU04000088,2004,M09,2004 Sep,15.7
LNU04000088,2004,M10,2004 Oct,15.2
LNU04000088,2004,M11,2004 Nov,13.7
LNU04000088,2004,M12,2004 Dec,14.0
LNU04000088,2005,M01,2005 Jan,15.2
LNU04000088,2005,M02,2005 Feb,16.8
LNU04000088,2005,M03,2005 Mar,15.3
LNU04000088,2005,M04,2005 Apr,15.8
LNU04000088,2005,M05,2005 May,16.3
LNU04000088,2005,M06,2005 Jun,16.2
LNU04000088,2005,M07,2005 Jul,14.0
LNU04000088,2005,M08,2005 Aug,14.3
LNU04000088,2005,M09,2005 Sep,14.5
LNU04000088,2005,M10,2005 Oct,14.1
LNU04000088,2005,M11,2005 Nov,14.2
LNU04000088,2005,M12,2005 Dec,11.8
LNU04000088,2006,M01,2006 Jan,15.3
LNU04000088,2006,M02,2006 Feb,14.8
LNU04000088,2006,M03,2006 Mar,13.8
LNU04000088,2006,M04,2006 Apr,13.4
LNU04000088,2006,M05,2006 May,13.3
LNU04000088,2006,M06,2006 Jun,15.5
LNU04000088,2006,M07,2006 Jul,14.5
LNU04000088,2006,M08,2006 Aug,13.8
LNU04000088,2006,M09,2006 Sep,16.1
LNU04000088,2006,M10,2006 Oct,13.1
LNU04000088,2006,M11,2006 Nov,13.1
LNU04000088,2006,M12,2006 Dec,12.1
LNU04000088,2007,M01,2007 Jan,14.6
LNU04000088,2007,M02,2007 Feb,14.7
LNU04000088,2007,M03,2007 Mar,13.3
LNU04000088,2007,M04,2007 Apr,14.5
LNU04000088,2007,M05,2007 May,15.4
LNU04000088,2007,M06,2007 Jun,16.9
LNU04000088,2007,M07,2007 Jul,13.9
LNU04000088,2007,M08,2007 Aug,13.9
LNU04000088,2007,M09,2007 Sep,15.1
LNU04000088,2007,M10,2007 Oct,13.9
LNU04000088,2007,M11,2007 Nov,14.1
LNU04000088,2007,M12,2007 Dec,13.8
LNU04000088,2008,M01,2008 Jan,17.2
LNU04000088,2008,M02,2008 Feb,16.5
LNU04000088,2008,M03,2008 Mar,13.6
LNU04000088,2008,M04,2008 Apr,12.5
LNU04000088,2008,M05,2008 May,17.7
LNU04000088,2008,M06,2008 Jun,16.9
LNU04000088,2008,M07,2008 Jul,17.6
LNU04000088,2008,M08,2008 Aug,16.6
LNU04000088,2008,M09,2008 Sep,18.9
LNU04000088,2008,M10,2008 Oct,18.1
LNU04000088,2008,M11,2008 Nov,17.9
LNU04000088,2008,M12,2008 Dec,17.5
LNU04000088,2009,M01,2009 Jan,21.7
LNU04000088,2009,M02,2009 Feb,22.7
LNU04000088,2009,M03,2009 Mar,20.4
LNU04000088,2009,M04,2009 Apr,20.4
LNU04000088,2009,M05,2009 May,23.3
LNU04000088,2009,M06,2009 Jun,25.4
LNU04000088,2009,M07,2009 Jul,23.2
LNU04000088,2009,M08,2009 Aug,24.3
LNU04000088,2009,M09,2009 Sep,25.7
LNU04000088,2009,M10,2009 Oct,25.5
LNU04000088,2009,M11,2009 Nov,25.2
LNU04000088,2009,M12,2009 Dec,23.5
LNU04000088,2010,M01,2010 Jan,26.9
LNU04000088,2010,M02,2010 Feb,25.0
LNU04000088,2010,M03,2010 Mar,23.6
LNU04000088,2010,M04,2010 Apr,22.3
LNU04000088,2010,M05,2010 May,25.0
LNU04000088,2010,M06,2010 Jun,25.2
LNU04000088,2010,M07,2010 Jul,23.5
LNU04000088,2010,M08,2010 Aug,23.1
LNU04000088,2010,M09,2010 Sep,24.3
LNU04000088,2010,M10,2010 Oct,25.3
LNU04000088,2010,M11,2010 Nov,23.8
LNU04000088,2010,M12,2010 Dec,22.7
LNU04000088,2011,M01,2011 Jan,26.3
LNU04000088,2011,M02,2011 Feb,22.4
LNU04000088,2011,M03,2011 Mar,21.4
LNU04000088,2011,M04,2011 Apr,20.2
LNU04000088,2011,M05,2011 May,21.5
LNU04000088,2011,M06,2011 Jun,24.1
LNU04000088,2011,M07,2011 Jul,22.9
LNU04000088,2011,M08,2011 Aug,23.5
LNU04000088,2011,M09,2011 Sep,24.3
LNU04000088,2011,M10,2011 Oct,24.0
LNU04000088,2011,M11,2011 Nov,23.8
LNU04000088,2011,M12,2011 Dec,19.6
LNU04000088,2012,M01,2012 Jan,22.4
LNU04000088,2012,M02,2012 Feb,21.1
LNU04000088,2012,M03,2012 Mar,22.0
LNU04000088,2012,M04,2012 Apr,22.5
LNU04000088,2012,M05,2012 May,23.1
LNU04000088,2012,M06,2012 Jun,23.0
LNU04000088,2012,M07,2012 Jul,21.9
LNU04000088,2012,M08,2012 Aug,22.1
LNU04000088,2012,M09,2012 Sep,24.0
LNU04000088,2012,M10,2012 Oct,23.7
LNU04000088,2012,M11,2012 Nov,20.5
LNU04000088,2012,M12,2012 Dec,21.2
LNU04000088,2013,M01,2013 Jan,22.2
LNU04000088,2013,M02,2013 Feb,23.3
LNU04000088,2013,M03,2013 Mar,21.1
LNU04000088,2013,M04,2013 Apr,20.6
LNU04000088,2013,M05,2013 May,22.2
LNU04000088,2013,M06,2013 Jun,23.4
LNU04000088,2013,M07,2013 Jul,19.4
LNU04000088,2013,M08,2013 Aug,21.2
LNU04000088,2013,M09,2013 Sep,20.6
LNU04000088,2013,M10,2013 Oct,22.0
LNU04000088,2013,M11,2013 Nov,18.9
LNU04000088,2013,M12,2013 Dec,16.9
LNU04000088,2014,M01,2014 Jan,21.0
LNU04000088,2014,M02,2014 Feb,21.5
LNU04000088,2014,M03,2014 Mar,20.3
LNU04000088,2014,M04,2014 Apr,16.2
LNU04000088,2014,M05,2014 May,17.1
LNU04000088,2014,M06,2014 Jun,20.7
LNU04000088,2014,M07,2014 Jul,18.2
LNU04000088,2014,M08,2014 Aug,17.3
LNU04000088,2014,M09,2014 Sep,21.0
LNU04000088,2014,M10,2014 Oct,17.3
LNU04000088,2014,M11,2014 Nov,16.9
LNU04000088,2014,M12,2014 Dec,14.1
LNU04000088,2015,M01,2015 Jan,19.3
LNU04000088,2015,M02,2015 Feb,16.8
LNU04000088,2015,M03,2015 Mar,16.8
LNU04000088,2015,M04,2015 Apr,13.8
LNU04000088,2015,M05,2015 May,16.7
LNU04000088,2015,M06,2015 Jun,19.9
LNU04000088,2015,M07,2015 Jul,15.3
LNU04000088,2015,M08,2015 Aug,15.5
LNU04000088,2015,M09,2015 Sep,16.8
LNU04000088,2015,M10,2015 Oct,14.9
LNU04000088,2015,M11,2015 Nov,14.6
LNU04000088,2015,M12,2015 Dec,13.7
LNU04000088,2016,M01,2016 Jan,16.0
LNU04000088,2016,M02,2016 Feb,14.0
LNU04000088,2016,M03,2016 Mar,13.7
LNU04000088,2016,M04,2016 Apr,12.0
LNU04000088,2016,M05,2016 May,14.5
LNU04000088,2016,M06,2016 Jun,17.3
LNU04000088,2016,M07,2016 Jul,15.6
LNU04000088,2016,M08,2016 Aug,15.0
LNU04000088,2016,M09,2016 Sep,16.4
LNU04000088,2016,M10,2016 Oct,13.4
LNU04000088,2016,M11,2016 Nov,13.7
LNU04000088,2016,M12,2016 Dec,11.5
LNU04000088,2017,M01,2017 Jan,15.5
LNU04000088,2017,M02,2017 Feb,13.5
LNU04000088,2017,M03,2017 Mar,10.8
LNU04000088,2017,M04,2017 Apr,11.1
LNU04000088,2017,M05,2017 May,14.6
LNU04000088,2017,M06,2017 Jun,14.9
LNU04000088,2017,M07,2017 Jul,11.4
LNU04000088,2017,M08,2017 Aug,13.2
LNU04000088,2017,M09,2017 Sep,13.7
LNU04000088,2017,M10,2017 Oct,13.2
LNU04000088,2017,M11,2017 Nov,14.2
LNU04000088,2017,M12,2017 Dec,11.3
LNU04000094,2002,M01,2002 Jan,4.2
LNU04000094,2002,M02,2002 Feb,4.7
LNU04000094,2002,M03,2002 Mar,3.8
LNU04000094,2002,M04,2002 Apr,3.9
LNU04000094,2002,M05,2002 May,3.5
LNU04000094,2002,M06,2002 Jun,3.9
LNU04000094,2002,M07,2002 Jul,3.7
